figi,cap
BBG000BBL8V7,5371710878.22
BBG000CGQ6M4,44523343578.91
BBG000BXRPH1,30480853093.125
BBG0077VNXV6,93576506777.85
BBG000CGC1X8,96282828901.92
BBG007TJF1N7,9871560465.96
BBG000BB5792,28159119593.5
BBG000C1XVK6,9869857020
BBG000BL46Q4,9941924936.16
BBG000C734W3,35453785901.6
BBG000Q3JN03,22503446964.2
BBG000BS5DR2,7063460948.25
BBG000BWXL85,24810692731
BBG000BS73J1,13294646030.6
BBG000BS0ZF1,8699626690.56
BBG000L4M7F1,13438008480.54
BBG000BBCDZ2,23946234469.95
BBG000F1ZSN5,28116844701.12
BBG000BSBZH7,30518179320.42
BBG000FVXD63,3349880914.5
BBG000BPXVJ6,21240724769.11
BBG000BSD7C2,62708221630
BBG000D2M0Z7,19527365096.14
BBG000CTQBF3,79472624000
BBG000BSLLB3,5195510133.22
BBG000BSLZY7,70165767519.84
BBG000C22QV7,7743083987.9
BBG000BSXQV7,37607556458.56
BBG000C4ZZ10,3111433533.39
BBG000BT1715,13969659203.15
BBG000BT41Q8,91035098005.28
BBG000BVP5P2,9590948757.68
BBG000BT7JW9,9176162016.42
BBG000RQW961,11433874068.24
BBG000BSFRF3,13250387284.2
BBG000BT9DW0,44581142034.22
BBG000BJ2D31,50021252013.97
BBG000BP1Q11,47937589500
BBG000H3FZM6,6463580441.96
BBG000C2ZCH8,29481735936.6
BBG000BTKGG8,33134705160
BBG000BKFBD7,38081172291.64
BBG000F0KF42,14614493945.31
BBG000J1QLT0,42108693380.265
BBG000BTQR96,24583043306.67
BBG000KLB4Q1,18897913486.44
BBG00658F3P3,28815021570.58
BBG000DN7P92,59193445480
BBG000BH2JM1,17179328230.72
BBG000BTVJ25,30824521197.82
BBG000BSJK37,226437015000
BBG000BS7KS3,17525017319.8763
BBG000L8CBX4,15478815433.95
BBG000RGM5P1,35475355231.68
BBG000H8TVT2,41284342691.55
BBG000BV75B7,12640876656.435
BBG000BV8DN6,49161519763.75
BBG000BVD6X4,9930736488.64
BBG000BVDLH9,84205015016.43
BBG000BY29C7,14420748960.94
BBG001M8HHB7,6016222027.6
BBG000BVMPN3,26421486325.44
BBG000BJ81C1,38062342690.57
BBG000BLXZN1,8633805668.64
BBG000DKCC19,30187675957.84
BBG000C1JTL6,15880635792.56
BBG000F0PF65,7.4022e+10
BBG000BVV7G1,102400238185.196
BBG000BVVQQ8,15614698010.5
BBG009DTD8H2,7716092291.6991
BBG000BXM6V2,7716092291.6991
BBG000M65M61,20252284278.87
BBG000C41023,9194331628.77
BBG000CB8Q50,11185360933.25
BBG00FWQ4VD6,12484531899.72
BBG000CH5208,217453211157.68
BBG000BW2QX0,11588027497
BBG000BW3299,103741118341.12
BBG000L9CV04,92428400000
BBG000BXMFC3,14087600181.9
BBG000FFDM15,91509985163.2044
BBG000BW8S60,103675260380.85
BBG000PSKYX7,250499631891.68
BBG000BWBZN1,11084763595.32
BBG000BWCKB6,33320945580.725
BBG000DHSPT0,13869620635.64
BBG000BBGGQ1,40585670861.75
BBG000BWGYF8,17707601028.24
BBG000BWHD54,12685621164.7618
BBG000BCZL41,16126632023.04
BBG000BGKHZ3,11319980213.1
BBG000C1S2X2,40757280191.52
BBG000FRVHB9,17958897162.02
BBG000HS77T5,201622283878.464
BBG000FQRVM3,16441462732.6
BBG000BWLMJ4,68930737678.46
BBG000BWNFZ9,25042674763.84
BBG000BWP7D9,19253207810.24
BBG000BWQFY7,294323106806.73
BBG000BWSV34,12518161650.06
BBG000DB3KT1,21020579984.8
BBG000BWVSR1,36348376084.57
BBG000BWVCP8,24806530202.745
BBG000BWXBC2,306369489041.9
BBG008NXC572,16532240810.4
BBG000BB5373,9241965000
BBG000BX3BL3,26395043850
BBG000PV2L86,12387133329
BBG000LD9JQ8,16958091769.57
BBG000D6L294,9319465430.1
BBG000BCTQ65,22279365811.0775
BBG00DBBG1M0,11040181552.4
BBG000C0F570,17062427399.04
BBG000GZQ728,322189546095.08
BBG000BX57K1,13261891050.18
BBG000BX5ZF5,7732596810
BBG001D8R5D0,13387383850.92
BBG000BH3GZ2,26611918644.6364
BBG000BKPL53,24236027197.2
BBG000BX9WL1,10775370600
BBG0039320N9,37941987819.47
